business_id,stars,review_count,review_frequency,avg_sentiment,checkin_count,price_range,takeout,delivery,reservations,outdoor_seating,good_for_kids,postal_code,competition_density
YNjyv0gfOr2g8lbmUpTnKg,4.5,350,1.0535117056856187,0.2947313569246612,282.0,2.0,1,1,1,1,0,70112.0,173.0
TLZ3-eDPLhUzfsWO4ad6Ug,4.0,382,1.5364583333333335,0.26603085426142026,404.0,2.0,1,0,0,0,1,70112.0,173.0
FRYkg_JvsWU9xIXZsEZcVA,3.5,27,3.1578947368421053,0.11881727213758464,22.0,3.0,0,0,1,1,0,70115.0,267.0
4IcB3QyMEA85UTWFKh9O9A,4.5,8,10.90909090909091,0.22443010114885115,7.0,1.0,0,0,0,0,0,70119.0,214.0
Edg22x3CZkIv0GUib2oEFA,3.5,149,0.19408502772643252,0.21089329876179558,564.0,2.0,1,1,1,1,1,70118.0,165.0
W57cR9a7XP6RX56MSWHJJA,3.5,58,0.395778364116095,0.256351217088922,112.0,2.0,1,0,1,1,1,70163.0,3.0
x7_p5O3ChQa7shdHCcLHZQ,3.5,172,0.5079006772009029,0.2657173028368542,245.0,2.0,1,0,1,0,0,70130.0,602.0
b7YJrFZWZdI2C5-9nZvVdw,2.5,34,0.2830188679245283,0.15541449711904257,35.0,2.0,1,0,1,1,1,70118.0,165.0
bSJczuohHVko33UT82hnfA,4.0,302,0.45425867507886436,0.24927990115929347,937.0,1.0,1,1,0,1,1,70113.0,58.0
dk9zGFRJD2RXkHqAmFHOOA,4.0,6,0.0,0.0,5.0,2.0,1,1,0,1,0,70119.0,214.0
Hp3Ony7yW60VPuWHQFIIHA,4.5,73,0.12753188297074267,0.3277557369829923,141.0,1.0,1,0,0,1,1,70117.0,144.0
k6NkyANDoAMSNpa9_VD8IQ,4.0,76,0.8786610878661087,0.33154587389235113,83.0,2.0,1,0,0,0,1,70130.0,602.0
1ddqdY_piKp-abaZ-bGRSA,3.5,226,0.3257103257103257,0.24153201846478867,343.0,3.0,1,0,1,0,0,70119.0,214.0
Wc-c_hQK4vFCl9keeVTUZw,3.5,255,0.734017363851618,0.2370943581854732,174.0,2.0,1,1,0,1,1,70124.0,69.0
du_yelFmWOZDEyIAE-jdsQ,2.0,9,1.0,0.14738636363636365,8.0,1.0,1,1,0,0,1,70112.0,173.0
nePPSHdai8L7aWmXwOZHEg,4.5,13,1.0,0.3367079889807163,17.0,2.0,1,0,0,1,0,70115.0,267.0
W4ZEKkva9HpAdZG88juwyQ,4.0,2064,2.7808826363461168,0.29689627061061175,3467.0,3.0,1,1,1,0,0,70130.0,602.0
qWZimITbVwNSGJZsuM47-Q,3.5,81,60.0,0.3914533053751804,213.0,2.0,1,0,1,1,1,70130.0,602.0
micimc15zJloGJaktAHBsQ,2.5,14,0.19543973941368079,0.3044886363636364,17.0,2.0,1,0,0,0,1,70122.0,49.0
Y2NFeGtConx1qciSPKcRlA,3.5,171,0.1131648434552999,0.24474028288641253,417.0,2.0,1,1,0,1,1,70115.0,267.0
5wgoIQXyP3BEPZLiVi1W8A,3.5,213,0.2140221402214022,0.24448200517948399,969.0,2.0,1,1,0,1,0,70130.0,602.0
G9JqaURDTC_pSzji0bytwA,3.5,83,0.3092783505154639,0.3708675272142624,86.0,2.0,1,0,0,0,0,70116.0,227.0
KeigREOxJtmzmYRg__6FPg,2.5,8,0.1465798045602606,0.04812015451767002,6.0,2.0,1,0,0,1,0,70118.0,165.0
aYJjJMN8heS2PmkvsQzaZg,4.5,137,0.2015810276679842,0.32070546097870956,356.0,1.0,1,0,0,1,1,70116.0,227.0
5l67axuAa5EmEV3lLuSa1Q,3.0,167,0.14785608674223755,0.20743610431040435,497.0,1.0,1,0,0,1,1,70115.0,267.0
