business_id,stars,review_count,price_range,takeout,delivery,reservations,outdoor_seating,good_for_kids,postal_code,competition_density,business_age_days
YNjyv0gfOr2g8lbmUpTnKg,4.5,350,2.0,1.0,1.0,1.0,1.0,0.0,70112.0,173.0,2777.0
TLZ3-eDPLhUzfsWO4ad6Ug,4.0,382,2.0,1.0,0.0,0.0,0.0,1.0,70112.0,173.0,2862.0
FRYkg_JvsWU9xIXZsEZcVA,3.5,27,3.0,0.0,0.0,1.0,1.0,0.0,70115.0,267.0,3527.0
4IcB3QyMEA85UTWFKh9O9A,4.5,8,1.0,0.0,0.0,0.0,0.0,0.0,70119.0,214.0,4970.0
Edg22x3CZkIv0GUib2oEFA,3.5,149,2.0,1.0,1.0,1.0,1.0,1.0,70118.0,165.0,4755.0
W57cR9a7XP6RX56MSWHJJA,3.5,58,2.0,1.0,0.0,1.0,1.0,1.0,70163.0,3.0,3617.0
x7_p5O3ChQa7shdHCcLHZQ,3.5,172,2.0,1.0,0.0,1.0,0.0,0.0,70130.0,602.0,6825.0
b7YJrFZWZdI2C5-9nZvVdw,2.5,34,2.0,1.0,0.0,1.0,1.0,1.0,70118.0,165.0,5967.0
bSJczuohHVko33UT82hnfA,4.0,302,1.0,1.0,1.0,0.0,1.0,1.0,70113.0,58.0,4019.0
dk9zGFRJD2RXkHqAmFHOOA,4.0,6,2.0,1.0,1.0,0.0,1.0,0.0,70119.0,214.0,0.0
Hp3Ony7yW60VPuWHQFIIHA,4.5,73,1.0,1.0,0.0,0.0,1.0,1.0,70117.0,144.0,5714.0
k6NkyANDoAMSNpa9_VD8IQ,4.0,76,2.0,1.0,0.0,0.0,0.0,1.0,70130.0,602.0,3767.0
1ddqdY_piKp-abaZ-bGRSA,3.5,226,3.0,1.0,0.0,1.0,0.0,0.0,70119.0,214.0,5898.0
Wc-c_hQK4vFCl9keeVTUZw,3.5,255,2.0,1.0,1.0,0.0,1.0,1.0,70124.0,69.0,2839.0
du_yelFmWOZDEyIAE-jdsQ,2.0,9,1.0,1.0,1.0,0.0,0.0,1.0,70112.0,173.0,3620.0
nePPSHdai8L7aWmXwOZHEg,4.5,13,2.0,1.0,0.0,0.0,1.0,0.0,70115.0,267.0,3134.0
W4ZEKkva9HpAdZG88juwyQ,4.0,2064,3.0,1.0,1.0,1.0,0.0,0.0,70130.0,602.0,6764.0
qWZimITbVwNSGJZsuM47-Q,3.5,81,2.0,1.0,0.0,1.0,1.0,1.0,70130.0,602.0,4202.0
