business_id,stars,review_count,review_frequency,avg_sentiment,checkin_count,price_range,takeout,delivery,reservations,outdoor_seating,good_for_kids,postal_code,competition_density
YNjyv0gfOr2g8lbmUpTnKg,4.5,350,1.0535117056856187,0.0,282.0,2.0,1,1,1,1,0,70112.0,173.0
TLZ3-eDPLhUzfsWO4ad6Ug,4.0,382,1.5364583333333335,0.0,404.0,2.0,1,0,0,0,1,70112.0,173.0
FRYkg_JvsWU9xIXZsEZcVA,3.5,27,3.1578947368421053,0.0,22.0,3.0,0,0,1,1,0,70115.0,267.0
4IcB3QyMEA85UTWFKh9O9A,4.5,8,10.90909090909091,0.0,7.0,1.0,0,0,0,0,0,70119.0,214.0
Edg22x3CZkIv0GUib2oEFA,3.5,149,0.19408502772643252,0.0,564.0,2.0,1,1,1,1,1,70118.0,165.0
W57cR9a7XP6RX56MSWHJJA,3.5,58,0.395778364116095,0.0,112.0,2.0,1,0,1,1,1,70163.0,3.0
x7_p5O3ChQa7shdHCcLHZQ,3.5,172,0.5079006772009029,0.0,245.0,2.0,1,0,1,0,0,70130.0,602.0
b7YJrFZWZdI2C5-9nZvVdw,2.5,34,0.2830188679245283,0.0,35.0,2.0,1,0,1,1,1,70118.0,165.0
bSJczuohHVko33UT82hnfA,4.0,302,0.45425867507886436,0.0,937.0,1.0,1,1,0,1,1,70113.0,58.0
dk9zGFRJD2RXkHqAmFHOOA,4.0,6,0.0,0.0,5.0,2.0,1,1,0,1,0,70119.0,214.0
Hp3Ony7yW60VPuWHQFIIHA,4.5,73,0.12753188297074267,0.0,141.0,1.0,1,0,0,1,1,70117.0,144.0
k6NkyANDoAMSNpa9_VD8IQ,4.0,76,0.8786610878661087,0.0,83.0,2.0,1,0,0,0,1,70130.0,602.0
1ddqdY_piKp-abaZ-bGRSA,3.5,226,0.3257103257103257,0.0,343.0,3.0,1,0,1,0,0,70119.0,214.0
Wc-c_hQK4vFCl9keeVTUZw,3.5,255,0.734017363851618,0.0,174.0,2.0,1,1,0,1,1,70124.0,69.0
du_yelFmWOZDEyIAE-jdsQ,2.0,9,1.0,0.0,8.0,1.0,1,1,0,0,1,70112.0,173.0
nePPSHdai8L7aWmXwOZHEg,4.5,13,1.0,0.0,17.0,2.0,1,0,0,1,0,70115.0,267.0
W4ZEKkva9HpAdZG88juwyQ,4.0,2064,2.7808826363461168,0.0,3467.0,3.0,1,1,1,0,0,70130.0,602.0
qWZimITbVwNSGJZsuM47-Q,3.5,81,60.0,0.0,213.0,2.0,1,0,1,1,1,70130.0,602.0
