business_id,stars,review_count,price_range,takeout,delivery,reservations,outdoor_seating,good_for_kids,postal_code,competition_density
YNjyv0gfOr2g8lbmUpTnKg,4.5,350,2.0,1.0,1.0,1.0,1.0,0.0,70112.0,173.0
TLZ3-eDPLhUzfsWO4ad6Ug,4.0,382,2.0,1.0,0.0,0.0,0.0,1.0,70112.0,173.0
FRYkg_JvsWU9xIXZsEZcVA,3.5,27,3.0,0.0,0.0,1.0,1.0,0.0,70115.0,267.0
4IcB3QyMEA85UTWFKh9O9A,4.5,8,1.0,0.0,0.0,0.0,0.0,0.0,70119.0,214.0
Edg22x3CZkIv0GUib2oEFA,3.5,149,2.0,1.0,1.0,1.0,1.0,1.0,70118.0,165.0
W57cR9a7XP6RX56MSWHJJA,3.5,58,2.0,1.0,0.0,1.0,1.0,1.0,70163.0,3.0
x7_p5O3ChQa7shdHCcLHZQ,3.5,172,2.0,1.0,0.0,1.0,0.0,0.0,70130.0,602.0
b7YJrFZWZdI2C5-9nZvVdw,2.5,34,2.0,1.0,0.0,1.0,1.0,1.0,70118.0,165.0
bSJczuohHVko33UT82hnfA,4.0,302,1.0,1.0,1.0,0.0,1.0,1.0,70113.0,58.0
dk9zGFRJD2RXkHqAmFHOOA,4.0,6,2.0,1.0,1.0,0.0,1.0,0.0,70119.0,214.0
Hp3Ony7yW60VPuWHQFIIHA,4.5,73,1.0,1.0,0.0,0.0,1.0,1.0,70117.0,144.0
k6NkyANDoAMSNpa9_VD8IQ,4.0,76,2.0,1.0,0.0,0.0,0.0,1.0,70130.0,602.0
1ddqdY_piKp-abaZ-bGRSA,3.5,226,3.0,1.0,0.0,1.0,0.0,0.0,70119.0,214.0
Wc-c_hQK4vFCl9keeVTUZw,3.5,255,2.0,1.0,1.0,0.0,1.0,1.0,70124.0,69.0
du_yelFmWOZDEyIAE-jdsQ,2.0,9,1.0,1.0,1.0,0.0,0.0,1.0,70112.0,173.0
nePPSHdai8L7aWmXwOZHEg,4.5,13,2.0,1.0,0.0,0.0,1.0,0.0,70115.0,267.0
W4ZEKkva9HpAdZG88juwyQ,4.0,2064,3.0,1.0,1.0,1.0,0.0,0.0,70130.0,602.0
qWZimITbVwNSGJZsuM47-Q,3.5,81,2.0,1.0,0.0,1.0,1.0,1.0,70130.0,602.0
micimc15zJloGJaktAHBsQ,2.5,14,2.0,1.0,0.0,0.0,0.0,1.0,70122.0,49.0
Y2NFeGtConx1qciSPKcRlA,3.5,171,2.0,1.0,1.0,0.0,1.0,1.0,70115.0,267.0
5wgoIQXyP3BEPZLiVi1W8A,3.5,213,2.0,1.0,1.0,0.0,1.0,0.0,70130.0,602.0
G9JqaURDTC_pSzji0bytwA,3.5,83,2.0,1.0,0.0,0.0,0.0,0.0,70116.0,227.0
KeigREOxJtmzmYRg__6FPg,2.5,8,2.0,1.0,0.0,0.0,1.0,0.0,70118.0,165.0
aYJjJMN8heS2PmkvsQzaZg,4.5,137,1.0,1.0,0.0,0.0,1.0,1.0,70116.0,227.0
5l67axuAa5EmEV3lLuSa1Q,3.0,167,1.0,1.0,0.0,0.0,1.0,1.0,70115.0,267.0
ifofBiQeb6DI0-u0KEQybg,4.0,24,2.0,0.0,0.0,0.0,0.0,0.0,70130.0,602.0
WaRZsQEcEHwRk0T2dJ-cuA,4.0,202,2.0,1.0,1.0,1.0,1.0,0.0,70130.0,602.0
8uF-bhJFgT4Tn6DTb27viA,4.5,2062,1.0,1.0,1.0,0.0,1.0,1.0,70130.0,602.0
Tt4byMYA7FvAkQ3MigcJWQ,3.5,74,2.0,1.0,0.0,1.0,1.0,1.0,70116.0,227.0
Yh4OgbXQSpQ_ycK_FmNiGw,4.0,100,2.0,1.0,1.0,0.0,1.0,0.0,70117.0,144.0
zSqTndm5Alq9dW1PyzbdTA,4.0,588,2.0,1.0,1.0,1.0,1.0,1.0,70130.0,602.0
qejPFPUKiIXvHJ4BirgLUw,1.5,13,1.0,1.0,1.0,0.0,1.0,1.0,70125.0,57.0
